,title,year,budget_2013$,intgross_2013$
138,Red Dawn,2012,65951507,48869204.0
139,Red Tails,2012,58849037,51102777.0
140,Rise of the Guardians,2012,147122592,311393491.0
141,Rock of Ages,2012,71024700,50852278.0
142,Safe,2012,33483073,42102643.0
143,Safety Not Guaranteed,2012,760979,4477791.0
144,Seven Psychopaths,2012,13697621,23836212.0
145,Silent Hill: Revelation 3D,2012,20292771,48646439.0
146,Silver Linings Playbook,2012,21307410,230644998.0
147,Sinister,2012,3043916,89012016.0
148,Skyfall,2012,202927713,1124923772.0
149,Snow White and the Huntsman,2012,172488556,406779965.0
150,Sparkle,2012,10146386,25021315.0
151,Spring Breakers,2012,5073193,31118489.0
152,Step Up Revolution,2012,33483073,167975738.0
153,Supporting Characters,2012,60878,4989.0
154,Ted,2012,50731928,557487654.0
155,That&#39;s My Boy,2012,68488103,58908258.0
156,The Amazing Spider-Man,2012,223220484,768984693.0
157,The Avengers,2012,60878314,49296637.0
158,The Dark Knight Rises,2012,279025606,1095143990.0
159,The Devil Inside,2012,1014639,103248087.0
160,The Dictator,2012,65951507,182005391.0
161,The Expendables 2,2012,101463857,316546185.0
162,The Grey,2012,25365964,85574308.0
163,The Hobbit: An Unexpected Journey,2012,253659641,1029557373.0
164,The Hunger Games,2012,81171085,694530947.0
165,The Impossible,2012,40585543,172073169.0
166,The Man with the Iron Fists,2012,15219578,22306925.0
167,The Master,2012,38048946,25484413.0
168,The Pirates! Band of Misfits,2012,55805121,124857587.0
169,The Place Beyond the Pines,2012,15219578,47699629.0
170,The Twilight Saga: Breaking Dawn - Part 2,2012,138193773,844848985.0
171,The Vow,2012,8866236,200511006.0
172,The Watch,2012,55805121,68338951.0
173,The Woman in Black,2012,15219578,130843627.0
174,The Words,2012,6087831,12310182.0
175,Think Like a Man,2012,12175663,97562697.0
176,To Rome With Love,2012,21814729,75452356.0
177,Total Recall,2012,126829821,201523449.0
178,Underworld: Awakening,2012,71024700,162727662.0
179,Wanderlust,2012,32975753,24513601.0
180,What to Expect When You&#39;re Expecting,2012,38048946,81832836.0
181,Won&#39;t Back Down,2012,19278133,5510995.0
182,Wrath of the Titans,2012,152195785,306390492.0
183,Wreck-It Ralph,2012,167415363,480342759.0
184,Zero Dark Thirty,2012,53268525,139736750.0
185,30 Minutes or Less,2011,28999342,42428850.0
186,50/50,2011,8285526,42810004.0
187,A Dangerous Method,2011,20713816,15336023.0
188,A Lonely Place to Die,2011,4142763,458345.0
189,A Very Harold &amp; Kumar 3D Christmas,2011,20713816,37560098.0
190,Another Earth,2011,181246,1844766.0
191,Apollo 18,2011,5178454,27464261.0
192,Arthur Christmas,2011,88033717,152893489.0
193,Attack the Block,2011,13463980,5599381.0
194,Bad Teacher,2011,19678125,224136189.0
195,Battle: Los Angeles,2011,72498355,219571833.0
196,Beastly,2011,17606743,39385487.0
197,Blackthorn,2011,4660609,1294370.0
198,Bridesmaids,2011,33659951,299587165.0
199,Captain America: The First Avenger,2011,144996710,383795703.0
200,Cars 2,2011,207138157,580147769.0
201,Circumstance,2011,932122,470329.0
202,Colombiana,2011,41427631,74257040.0
203,Conan the Barbarian,2011,20713816,81937729.0
204,Contagion,2011,62141447,142460919.0
205,Coriolanus,2011,10356908,1087104.0
206,Cowboys &amp; Aliens,2011,168817598,182188693.0
208,Diary of a Wimpy Kid: Rodrick Rules,2011,18642434,76325433.0
209,Dolphin Tale,2011,38320559,99497492.0
210,Dream House,2011,51784539,41357557.0
211,Drive,2011,15535362,80840663.0
212,Fast Five,2011,129461348,652320815.0
213,Final Destination 5,2011,41427631,163522777.0
214,Footloose,2011,24856579,65676025.0
215,Fright Night,2011,31070724,41966863.0
216,Green Lantern,2011,207138157,239452924.0
217,Hall Pass,2011,37284868,86680344.0
218,Hanna,2011,31070724,67675862.0
219,Harry Potter and the Deathly Hallows: Part 2,2011,129461348,1375512553.0
220,Haywire,2011,23820888,22967676.0
221,Hesher,2011,7249836,396614.0
222,Higher Ground,2011,1864243,889847.0
223,Hobo with a Shotgun,2011,3107072,864753.0
224,Hop,2011,65248520,191524428.0
225,Horrible Bosses,2011,36249178,222195609.0
226,Hugo,2011,186424342,191637196.0
227,I Am Number Four,2011,51784539,151193038.0
228,Immortals,2011,77676809,219113265.0
229,In Time,2011,36249178,176134406.0
230,Iris,2011,5696299,15695916.0
231,Jin ling shi san chai,2011,103569079,97066426.0
232,Johnny English Reborn,2011,46606085,170412210.0
233,Jumping the Broom,2011,7249836,39520511.0
234,Just Go with It,2011,82855263,222647578.0
235,Kill List,2011,828553,478703.0
236,Killer Elite,2011,72498355,59839216.0
237,Kung Fu Panda 2,2011,155353618,688566122.0
238,Le Havre,2011,5696299,13961315.0
239,Like Crazy,2011,258923,3864669.0
240,Limitless,2011,27963651,175797590.0
241,Margaret,2011,14499671,48869.0
242,Margin Call,2011,3521349,18510079.0
243,Mars Needs Moms,2011,155353618,40961320.0
244,Martha Marcy May Marlene,2011,1035691,3657064.0
245,Melancholia,2011,9735493,18688080.0
246,Midnight in Paris,2011,31070724,160342190.0
