,year,budget_2013$
1506,1995,84082870
1507,1995,42805825
1508,1995,88669209
1509,1995,50449722
1510,1995,45863384
1511,1995,25224861
1512,1995,61151178
1513,1995,53507281
1514,1995,38219486
1515,1995,94784326
1516,1995,33633148
1517,1995,382195
1518,1995,33633148
1519,1995,48920943
1520,1995,9172677
1521,1995,45863384
1522,1995,44334604
1523,1995,267536405
1524,1995,1223024
1525,1994,18859976
1526,1994,78583235
1527,1994,42435
1528,1994,22003306
1529,1994,25146635
1530,1994,28289965
1531,1994,86441558
1532,1994,47149941
1533,1994,23574970
1534,1994,47149941
1535,1994,15716647
1536,1994,94299882
1537,1994,12573318
1538,1994,47149941
1539,1994,86441558
1540,1994,55008264
1541,1994,70724911
1542,1994,62866588
1543,1994,124633011
1544,1994,28289965
1545,1994,34576623
1546,1994,62866588
1547,1994,39291617
1548,1994,70724911
1549,1994,44006612
1550,1994,157166470
1551,1993,104809829
1552,1993,22574425
1553,1993,11125966
1554,1993,40311473
1555,1993,23541900
1556,1993,45148849
1557,1993,101584911
1558,1993,40311473
1559,1993,483738
1560,1993,40311473
1561,1993,67723274
1562,1993,54823603
1563,1993,70948192
1564,1993,38699014
1565,1993,24186884
1566,1993,40311473
1567,1992,54791459
1568,1992,66413889
1569,1992,46489723
1570,1992,91319098
1571,1992,18263820
1572,1992,132827779
1573,1992,11622431
1574,1992,91319098
1575,1992,11622
1576,1992,20754340
1577,1992,69734584
1578,1992,33206945
1579,1992,58112153
1580,1992,18263820
1581,1992,1992417
1582,1992,6641389
1583,1992,16603472
1584,1992,19924167
1585,1992,13282778
1586,1992,33206945
1587,1991,34216807
1588,1991,34216807
1589,1991,119758826
1590,1991,111204624
1591,1991,85542018
1592,1991,39349
1593,1991,46192690
1594,1991,42771009
1595,1991,171084037
1596,1991,51325211
1597,1991,39349328
1598,1991,34216807
1599,1991,23951765
1600,1990,71319016
1601,1990,23178680
1602,1990,12480828
1603,1990,124808278
1604,1990,35659508
1605,1990,46357360
1606,1990,39225459
1607,1990,44574385
1608,1990,26744631
1609,1990,12480828
1610,1990,62404139
1611,1990,24961656
1612,1990,53489262
1613,1990,222871925
1614,1990,17829754
1615,1989,75183554
1616,1989,65785609
1617,1989,18795888
1618,1989,30825257
1619,1989,16916300
1620,1989,90220264
1621,1989,78942731
1622,1989,20675477
1623,1989,18795888
1624,1989,2255507
1625,1989,56387665
1626,1989,131571219
1627,1989,33832599
1628,1989,9397944
1629,1988,13787529
1630,1988,15757176
1631,1988,29544705
1632,1988,2954471
1633,1988,17726823
1634,1988,27575058
1635,1988,55150116
1636,1988,59089410
1637,1988,31514352
1638,1988,11817882
1639,1988,18711647
1640,1988,49241175
1641,1988,63028704
1642,1988,24226658
1643,1988,13787529
1644,1988,7878588
1645,1988,29544705
1646,1988,137875291
1647,1988,25605411
1648,1987,41007948
1649,1987,7176391
1650,1987,28705563
1651,1987,26655166
1652,1987,2050397
1653,1987,30755961
1654,1987,36907153
1655,1987,32806358
1656,1987,246047687
1657,1987,46544021
1658,1987,34856756
1659,1987,51259935
1660,1987,17428378
1661,1987,30755961
1662,1986,36104000
1663,1986,10618824
1664,1986,33980236
1665,1986,63712942
1666,1986,63712942
1667,1986,38227765
1668,1986,12742588
1669,1986,16990118
1670,1986,31856471
1671,1986,31856471
1672,1985,41136059
1673,1985,32475836
1674,1985,21650558
1676,1985,43301115
1677,1985,54126394
1679,1985,38754498
1680,1985,58456506
1681,1985,32475836
1682,1984,78450540
1683,1984,40345992
1684,1984,33621660
1685,1984,22414440
1686,1984,40345992
1687,1984,100864980
1688,1984,5827754
1689,1984,67243320
1690,1984,24655884
1691,1984,62760432
1692,1984,10086498
1693,1984,3362166
1694,1984,17931552
1695,1984,40345992
1696,1984,89657760
1697,1984,14345242
1698,1983,16375486
1699,1983,76029041
1700,1983,91234849
1701,1983,13923842
1702,1983,28072261
1703,1982,67571504
1704,1982,30165850
1705,1982,48265360
1706,1982,12066340
1707,1982,25339314
1708,1982,10859706
1709,1982,33785752
1710,1982,5429853
1711,1982,25821968
1712,1982,9653072
1713,1982,28959216
1714,1982,49471994
1715,1982,36199020
1716,1982,41025556
1717,1981,30742635
1718,1981,15371317
1719,1981,3202358
1720,1981,6404716
1721,1981,23825542
1722,1981,28180748
1723,1981,51237724
1724,1981,960707
1725,1981,30742635
1726,1980,9897188
1727,1980,56555357
1728,1980,50899822
1729,1980,98971875
1730,1980,48072054
1731,1980,124421786
1732,1980,42416518
1733,1980,50899822
1734,1980,14421616
1735,1980,65038661
1736,1980,152699465
1737,1980,76349732
1738,1980,50899822
1739,1980,53727589
1740,1979,28886103
1741,1979,101101360
1742,1979,99496576
1743,1979,112334844
1744,1979,59376989
1745,1978,10712118
1746,1978,99979768
1747,1978,10712118
1748,1978,21424236
1749,1978,53560590
1750,1978,6248735
1751,1978,196388829
1752,1978,53560590
1753,1977,99921804
1754,1977,15372585
1755,1977,76862926
1756,1977,384315
1757,1977,13066697
1758,1977,23058878
1759,1977,42274609
1760,1976,122754817
1761,1976,12275482
1762,1976,28642791
1763,1976,15548943
1764,1976,4091827
1765,1976,18004040
1766,1976,40918272
1767,1976,4091827
1768,1975,47609104
1769,1975,51937204
1770,1975,1731240
1771,1975,19043641
1772,1975,5193720
1773,1974,42513535
1774,1974,12281688
1775,1974,7557962
1776,1974,61408439
1777,1974,661322
1778,1974,661322
1779,1974,13226433
1780,1973,4074506
1781,1973,82329139
1782,1973,10487788
1783,1973,62926730
1784,1973,28841418
1786,1972,66866
1787,1972,39004975
1788,1971,14386286
1789,1971,305063707
1790,1971,143862856
1791,1971,12659931
1792,1971,17263543
1793,1970,5997631
