,year,budget_2013$
357,2010,29910492
358,2010,124983125
359,2010,27774028
360,2010,21364637
361,2010,32046955
362,2010,32046955
363,2010,13352898
364,2010,8545855
365,2010,2136464
366,2010,138870139
367,2010,534116
368,2010,42729274
369,2010,37388114
370,2010,16023478
371,2010,3204696
372,2010,101482025
373,2010,3204696
374,2010,42729274
375,2010,213646368
376,2010,5341159
377,2010,16023478
378,2010,64093910
379,2010,17091709
380,2010,34183419
381,2010,224328687
382,2010,138870139
383,2010,90799707
384,2010,37388114
385,2010,101482025
386,2010,176258254
387,2010,85458547
388,2010,10682318
389,2010,7477623
390,2010,2029641
391,2010,2670580
392,2010,34183419
393,2010,277740279
394,2010,117505503
395,2010,37388114
396,2010,165575935
397,2010,26705796
398,2010,20296405
399,2010,21364637
400,2010,87595011
401,2010,11750550
402,2010,48070433
403,2010,17625825
404,2010,42729274
405,2010,4272927
406,2010,13887014
407,2010,16023478
408,2010,160234776
409,2010,1922817
410,2010,26705796
411,2010,32046955
412,2010,106823184
413,2010,10148202
414,2010,42729274
415,2010,170917095
416,2010,29910492
417,2010,20296405
418,2010,21364637
419,2010,106823184
420,2010,39524578
421,2010,72639765
422,2010,160234776
423,2010,53412
424,2010,213646368
425,2010,213646368
426,2010,37388114
427,2010,5341159
428,2010,101482025
429,2010,55548056
430,2010,74776229
431,2010,10682318
432,2010,8545855
433,2010,2136464
435,2010,85458547
436,2010,21364637
437,2010,16023478
438,2009,8142987
439,2009,43429264
440,2009,217146319
441,2009,32571948
442,2009,15200242
443,2009,7600121
444,2009,7600121
445,2009,3474341
446,2009,10640170
447,2009,76001212
448,2009,1085732
449,2009,16285974
450,2009,8142987
451,2009,162859739
452,2009,21714632
453,2009,70572554
454,2009,461435929
455,2009,22800364
456,2009,45600727
457,2009,32571948
458,2009,9228719
459,2009,18457437
460,2009,28229022
461,2009,21714632
462,2009,29314753
463,2009,14114511
464,2009,108573160
465,2009,24971827
466,2009,65143896
467,2009,21714632
468,2009,868585
469,2009,32571948
470,2009,32571948
471,2009,17371706
472,2009,21714632
473,2009,43429264
474,2009,92287186
475,2009,21714632
476,2009,3257195
477,2009,18457437
478,2009,78715541
479,2009,162859739
480,2009,190003029
481,2009,54286580
482,2009,7600121
483,2009,7925841
484,2009,271432899
485,2009,43429264
486,2009,19543169
487,2009,14114511
488,2009,43429264
489,2009,97715844
490,2009,76001212
491,2009,53200848
492,2009,92287186
493,2009,17371706
494,2009,43429264
495,2009,54286580
496,2009,57543775
497,2009,4885792
498,2009,45600727
499,2009,190003029
500,2009,5428658
501,2009,7600121
502,2009,15200242
503,2009,29857619
504,2009,86858528
505,2009,54286580
506,2009,2062890
507,2009,13028779
508,2009,4668646
509,2009,43429264
510,2009,7165829
511,2009,65143896
512,2009,10857316
513,2009,111287489
514,2009,41257801
515,2009,97715844
516,2009,32571948
517,2009,152002424
518,2009,65143896
519,2009,86858528
520,2009,217146319
521,2009,38000606
522,2009,54286580
523,2009,8685853
524,2009,27143290
525,2009,9011572
526,2009,43429264
527,2009,10857316
528,2009,97715844
529,2009,1411451
530,2009,10857316
531,2009,38000606
532,2009,32571948
533,2009,23886095
534,2009,20086035
535,2009,19543169
536,2009,103144502
537,2009,26057558
538,2009,7057255
539,2009,114001818
540,2009,43429264
541,2009,27143290
542,2009,8685853
543,2009,65143896
544,2009,119430476
545,2009,42343532
546,2009,41257801
547,2009,17371706
548,2009,38000606
549,2009,228003635
550,2009,190003029
551,2009,32571948
553,2009,149830960
554,2009,16285974
555,2009,108573160
556,2009,16285974
557,2009,38000606
558,2009,162859739
560,2009,19543169
561,2009,25623266
562,2008,37878971
563,2008,21645126
564,2008,140693320
565,2008,32467689
566,2008,21645126
567,2008,86580505
568,2008,27056408
569,2008,162338447
570,2008,40043484
571,2008,59524097
572,2008,62770866
573,2008,41125740
574,2008,27056408
576,2008,70346660
577,2008,54112816
578,2008,7575794
579,2008,35714458
580,2008,21645126
581,2008,86580505
582,2008,15151588
583,2008,541128
584,2008,27056408
585,2008,32467689
586,2008,86580505
587,2008,31385433
588,2008,1082256
589,2008,36796715
590,2008,21645126
591,2008,27056408
592,2008,9740307
593,2008,162338447
594,2008,89286146
595,2008,11904819
596,2008,32467689
597,2008,16233845
598,2008,200217418
599,2008,64935379
600,2008,201299674
601,2008,48701534
602,2008,89286146
603,2008,140693320
604,2008,4870153
605,2008,43290252
606,2008,37878971
607,2008,64935379
608,2008,21645126
609,2008,48701534
610,2008,10822563
611,2008,40043484
612,2008,28138664
613,2008,1623384
614,2008,27056408
615,2008,19480614
616,2008,248918952
617,2008,12987076
618,2008,12987076
619,2008,48701534
620,2008,19480614
621,2008,58441841
622,2008,62229738
623,2008,15151588
624,2008,129870757
626,2008,70346660
627,2008,5411282
628,2008,21645126
629,2008,27056408
630,2008,21645126
631,2008,21645126
632,2008,243507670
633,2008,173161010
634,2008,200217418
635,2008,86580505
636,2008,12987076
637,2008,59524097
638,2008,27056408
639,2008,16233845
640,2008,148810243
641,2008,15151588
642,2008,43290252
643,2008,35173330
644,2008,11904819
645,2008,29220920
646,2008,9740307
647,2008,64935379
648,2008,17316101
649,2008,6493538
650,2008,21645126
651,2008,16233845
652,2008,97403068
653,2008,40043484
654,2008,97403068
655,2008,17316101
656,2008,194806136
657,2008,2164513
658,2008,81169223
659,2008,29762049
660,2008,324677
661,2008,37878971
662,2008,54112816
663,2007,2359441
664,2007,25279728
665,2007,16853152
666,2007,53930087
667,2007,33706305
668,2007,33706305
669,2007,50559457
670,2007,33706305
671,2007,18538467
672,2007,168531522
673,2007,68536152
674,2007,28088587
675,2007,8988348
676,2007,13482522
677,2007,84265761
678,2007,23594413
679,2007,3089745
680,2007,22470870
681,2007,56177174
682,2007,95501196
683,2007,134825218
684,2007,21347326
685,2007,84265761
686,2007,16853152
687,2007,56177174
688,2007,168531522
689,2007,19662011
690,2007,8426576
691,2007,17976696
692,2007,28088587
693,2007,168531522
694,2007,22470870
695,2007,7864804
696,2007,30897446
697,2007,14044294
698,2007,123589783
699,2007,24156185
700,2007,44941739
701,2007,28088587
702,2007,31459218
703,2007,505595
704,2007,8201867
705,2007,337063045
706,2007,22470870
707,2007,168531522
708,2007,50559457
709,2007,202237827
710,2007,67412609
711,2007,179766957
712,2007,12808396
713,2007,78648044
714,2007,44941739
715,2007,19662011
716,2007,18538467
717,2007,2247087
718,2007,50559457
719,2007,230326414
720,2007,22470870
722,2007,17976696
723,2007,14606065
724,2007,35953391
725,2007,10111891
726,2007,56177
727,2007,81456903
728,2007,4494174
729,2007,28088587
730,2007,39324022
731,2007,169655066
732,2007,7345604
733,2007,1685315
734,2007,31459218
735,2007,11235435
736,2006,69347781
737,2006,23115927
738,2006,9246371
739,2006,13869556
740,2006,40452872
741,2006,10402167
742,2006,115579635
743,2006,9246371
744,2006,20804334
745,2006,4623185
746,2006,80905744
747,2006,117891227
748,2006,87840522
749,2006,5778982
750,2006,13869556
751,2006,2311593
752,2006,34673890
753,2006,18492742
754,2006,115579635
755,2006,9246371
756,2006,28894909
757,2006,172213656
758,2006,13869556
759,2006,7512676
760,2006,86684726
761,2006,17336945
762,2006,57789817
763,2006,12713760
764,2006,86684726
765,2006,52010836
766,2006,15025353
767,2006,16181149
768,2006,9246371
769,2006,953532
770,2006,31206501
771,2006,23115927
772,2006,46231854
773,2006,34673890
774,2006,86684726
775,2006,36985483
776,2006,127137598
777,2006,31784400
778,2006,173369
779,2006,98242689
780,2006,15025353
781,2006,73624227
782,2006,260054178
783,2006,184927415
784,2006,462319
785,2006,6125721
786,2006,13869556
787,2006,28894909
788,2006,2311593
789,2006,2311593
790,2006,57789817
791,2006,17625894
792,2006,19648538
793,2006,38141279
794,2006,19648538
795,2006,23115927
