,dbn,name,num_test_takers,boro,total_students,graduation_rate,attendance_rate,college_career_rate,reading_avg,math_avg,writing_score
212,16K498,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,46.0,K,594,0.74,0.85,0.49,362.0,372.0,358.0
213,16K688,THE BROOKLYN ACADEMY OF GLOBAL FINANCE,,K,135,0.66,0.78,0.26,nan,nan,nan
214,17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,59.0,K,422,0.64,0.84,0.49,396.0,374.0,369.0
215,17K408,ACADEMY OF HOSPITALITY AND TOURISM,57.0,K,208,0.53,0.82,0.3,352.0,342.0,351.0
216,17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,71.0,K,417,0.63,0.88,0.53,287.0,335.0,291.0
217,17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,46.0,K,197,0.61,0.9,0.33,403.0,385.0,388.0
218,17K531,"SCHOOL FOR HUMAN RIGHTS, THE",35.0,K,441,0.74,0.92,0.49,348.0,381.0,359.0
219,17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS,73.0,K,480,0.79,0.88,0.39,338.0,349.0,340.0
220,17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,61.0,K,354,0.82,0.84,0.49,362.0,375.0,368.0
221,17K543,"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",69.0,K,541,0.98,0.96,0.83,457.0,462.0,441.0
222,17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,79.0,K,454,0.95,0.93,0.84,418.0,441.0,414.0
223,17K547,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,63.0,K,373,0.74,0.9,0.57,388.0,382.0,373.0
224,17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,48.0,K,296,0.74,0.83,0.55,385.0,393.0,373.0
225,17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,165.0,K,1257,0.98,0.89,0.8,476.0,481.0,479.0
226,17K600,CLARA BARTON HIGH SCHOOL,259.0,K,1221,0.75,0.89,0.52,425.0,413.0,413.0
227,17K751,ACADEMY FOR HEALTH CAREERS,,K,359,0.83,0.83,0.56,nan,nan,nan
228,18K563,IT TAKES A VILLAGE ACADEMY,56.0,K,730,0.89,0.91,0.76,313.0,320.0,330.0
229,18K566,BROOKLYN GENERATION SCHOOL,29.0,K,195,0.75,0.91,0.51,374.0,377.0,394.0
230,18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,54.0,K,362,0.83,0.82,0.46,383.0,358.0,377.0
231,18K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,43.0,K,353,0.86,0.89,0.43,368.0,378.0,346.0
232,18K576,VICTORY COLLEGIATE HIGH SCHOOL,63.0,K,401,0.76,0.88,0.53,387.0,377.0,379.0
233,18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,37.0,K,255,0.7,0.86,0.53,404.0,393.0,386.0
234,18K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,33.0,K,319,0.68,0.87,0.38,393.0,395.0,381.0
235,18K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS,75.0,K,424,0.93,0.91,0.69,386.0,380.0,393.0
236,18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,35.0,K,285,0.81,0.82,0.48,363.0,381.0,367.0
237,18K642,URBAN ACTION ACADEMY,40.0,K,278,0.58,0.81,0.33,376.0,385.0,374.0
238,19K409,EAST NEW YORK FAMILY ACADEMY,54.0,K,496,0.95,0.88,0.68,416.0,432.0,394.0
239,19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,37.0,K,333,0.71,0.8,0.32,341.0,349.0,333.0
240,19K504,HIGH SCHOOL FOR CIVIL RIGHTS,47.0,K,264,0.64,0.74,0.34,363.0,349.0,342.0
241,19K507,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,61.0,K,450,0.54,0.86,0.41,380.0,386.0,383.0
242,19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL,68.0,K,262,0.67,0.81,0.52,371.0,365.0,370.0
243,19K583,MULTICULTURAL HIGH SCHOOL,29.0,K,243,0.62,0.9,0.49,279.0,322.0,286.0
244,19K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,182.0,K,713,0.73,0.84,0.45,395.0,418.0,380.0
245,19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,60.0,K,403,0.74,0.88,0.48,371.0,371.0,354.0
246,19K639,BROOKLYN LAB SCHOOL,57.0,K,384,0.63,0.79,0.42,360.0,385.0,363.0
247,19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,51.0,K,251,0.69,0.89,0.51,376.0,385.0,368.0
248,19K660,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,74.0,K,407,0.68,0.76,0.33,370.0,369.0,363.0
249,19K683,"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS",38.0,K,287,0.73,0.84,0.28,383.0,400.0,374.0
250,20K445,NEW UTRECHT HIGH SCHOOL,456.0,K,3563,0.8,0.87,0.59,402.0,471.0,399.0
251,20K485,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY,238.0,K,1278,0.88,0.93,0.71,425.0,474.0,424.0
252,20K490,FORT HAMILTON HIGH SCHOOL,694.0,K,4582,0.75,0.9,0.7,417.0,478.0,411.0
253,20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,385.0,K,3061,0.68,0.89,0.51,383.0,486.0,375.0
254,20K609,THE URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,,K,556,0.93,0.9,0.81,nan,nan,nan
255,21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,54.0,K,337,0.67,0.89,0.51,326.0,386.0,314.0
256,21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,54.0,K,639,0.67,0.86,0.54,402.0,427.0,408.0
257,21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,39.0,K,242,0.67,0.81,0.48,388.0,398.0,378.0
258,21K410,ABRAHAM LINCOLN HIGH SCHOOL,475.0,K,1998,0.71,0.86,0.45,396.0,437.0,393.0
259,21K468,KINGSBOROUGH EARLY COLLEGE SCHOOL,,K,657,0.98,0.91,0.89,nan,nan,nan
260,21K525,EDWARD R. MURROW HIGH SCHOOL,727.0,K,3789,0.8,0.91,0.64,468.0,496.0,467.0
261,21K540,JOHN DEWEY HIGH SCHOOL,448.0,K,2309,0.8,0.88,0.57,404.0,468.0,390.0
262,21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,40.0,K,303,0.89,0.88,0.6,384.0,375.0,365.0
263,21K572,EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS,40.0,K,347,0.84,0.87,0.7,353.0,370.0,356.0
264,21K620,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,95.0,K,458,0.71,0.82,0.22,394.0,414.0,376.0
